International Phonetic Alphabet
A  Amsterdam
B  Baltimore
C  Casablanca
D  Denmark
E  Edison
F  Florida
G  Gallipoli
H  Havana
I  Italy
J  Jerusalem
K  Kilogram
L  Liverpool
M  Madagascar
N  New York
O  Oslo
P  Paris
Q  Quebec
R  Roma
S  Santiago
T  Tripoli
U  Uppsala
V  Valencia
W  Washington
X  Xanthippe
Y  Yokohama
Z  Zurich
    Space
.   Period
,   Comma
;   Semicolon
:   Colon
?   Question Mark
!   Exclamation Mark
@   At Sign
&   Ampersand
"   Double Quotation Mark
'   Apostrophe
-   Dash
/   Forward Slash
\   Backslash
(   Left Round Bracket / Parenthesis
)   Right Round Bracket / Parenthesis
[   Left Square Bracket
]   Right Square Bracket
{   Left Curly Bracket
}   Right Curly Bracket
<   Left Angle Bracket / Less-Than Sign
>   Right Angle Bracket / Greater-Than Sign
|   Vertical Bar / Pipe
°   Degree Symbol
*   Asterisk / Star
+   Plus Sign
=   Equal Sign
#   Number Sign / Pound Sign / Hash
§   Section Sign
$   Dollar Sign
€   Euro Sign
~   Tilde
_   Underscore
%   Percent Sign
^   Caret
0   Zero 
1   One 
2   Two 
3   Three 
4   Four 
5   Five 
6   Six 
7   Seven 
8   Eight 
9   Nine 
